activity_id,date,start_time,name,stryd_type,surface_type,avg_power,max_power,avg_hr,max_hr,avg_cadence,avg_stride_length,avg_oscillation,leg_spring_stiffness,ground_time_ms,elevation_gain_m,avg_speed_ms,rss,lower_body_stress,cp_estimate,seconds_in_zones,temperature_c,relative_humidity_pct,environment_source,distance_km,duration_sec
4550097443913728,2026-03-01,2026-03-01T07:01:00Z,Sample Run Day 1,easy,road,220,300,140,165,170,0.95,6.5,9.5,215,20,2.7,65,60,268.0,"[2000, 300, 100, 50, 30]",30.0,60,stryd_activity_weather,8,3000
4550097443913729,2026-03-02,2026-03-02T07:01:00Z,Sample Run Day 2,recovery,road,222,303,141,166,171,0.96,6.6,9.6,216,23,2.75,68,62,268.3,"[2050, 310, 105, 53, 32]",30.4,61,stryd_activity_weather,10,3120
4550097443913730,2026-03-03,2026-03-03T07:01:00Z,Sample Run Day 3,tempo,trail,224,306,142,167,172,0.97,6.7,9.7,217,26,2.8,71,64,268.6,"[2100, 320, 110, 56, 34]",30.8,62,stryd_activity_weather,12,3240
4550097443913731,2026-03-04,2026-03-04T07:01:00Z,Sample Run Day 4,threshold,road,226,309,143,168,173,0.98,6.8,9.8,218,29,2.85,74,66,268.9,"[2150, 330, 115, 59, 36]",31.2,63,stryd_activity_weather,14,3360
4550097443913732,2026-03-05,2026-03-05T07:01:00Z,Sample Run Day 5,easy,trail,228,312,144,169,174,0.99,6.9,9.9,219,32,2.9,77,68,269.2,"[2200, 340, 120, 62, 38]",31.6,64,stryd_activity_weather,16,3480
4550097443913733,2026-03-06,2026-03-06T07:01:00Z,Sample Run Day 6,easy,road,230,315,145,170,170,1.0,7.0,10.0,220,35,2.95,80,70,269.5,"[2250, 350, 125, 65, 40]",32.0,65,stryd_activity_weather,8,3600
4550097443913734,2026-03-07,2026-03-07T07:01:00Z,Sample Run Day 7,recovery,road,232,318,146,171,171,1.01,7.1,10.1,221,38,3.0,83,72,269.8,"[2300, 360, 130, 68, 42]",32.4,66,stryd_activity_weather,10,3720
4550097443913735,2026-03-08,2026-03-08T07:01:00Z,Sample Run Day 8,tempo,trail,234,321,147,172,172,1.02,7.2,10.2,222,41,3.05,86,74,270.1,"[2350, 370, 135, 71, 44]",32.8,67,stryd_activity_weather,12,3840
4550097443913736,2026-03-09,2026-03-09T07:01:00Z,Sample Run Day 9,threshold,road,236,324,148,173,173,1.03,7.3,10.3,223,44,3.1,89,76,270.4,"[2400, 380, 140, 74, 46]",33.2,68,stryd_activity_weather,14,3960
4550097443913737,2026-03-10,2026-03-10T07:01:00Z,Sample Run Day 10,easy,trail,238,327,149,174,174,1.04,7.4,10.4,224,47,3.15,92,78,270.7,"[2450, 390, 145, 77, 48]",33.6,69,stryd_activity_weather,16,4080
4550097443913738,2026-03-11,2026-03-11T07:01:00Z,Sample Run Day 11,easy,road,240,330,140,165,170,1.05,7.5,10.5,225,50,3.2,95,80,271.0,"[2500, 400, 150, 80, 50]",34.0,70,stryd_activity_weather,8,4200
4550097443913739,2026-03-12,2026-03-12T07:01:00Z,Sample Run Day 12,recovery,road,242,333,141,166,171,1.06,7.6,10.6,226,53,3.25,98,82,271.3,"[2550, 410, 155, 83, 52]",34.4,71,stryd_activity_weather,10,4320
4550097443913740,2026-03-13,2026-03-13T07:01:00Z,Sample Run Day 13,tempo,trail,244,336,142,167,172,1.07,7.7,10.7,227,56,3.3,101,84,271.6,"[2600, 420, 160, 86, 54]",34.8,72,stryd_activity_weather,12,4440
4550097443913741,2026-03-14,2026-03-14T07:01:00Z,Sample Run Day 14,threshold,road,246,339,143,168,173,1.08,7.8,10.8,228,59,3.35,104,86,271.9,"[2650, 430, 165, 89, 56]",35.2,73,stryd_activity_weather,14,4560
